A 308 200D	0 1
A 378	0 1
A 308 378	0 1 2
1 20	0 1
1 308 20	0 1 2
1 D	0 1
1 308 D	0 1 2
1 A	0 1
1 308 A	0 1 2
1 1	0 1
1 308 1	0 1 2
1 200C	0 1
1 308 200C	0 1
1 1F1E6	0 1
1 308 1F1E6	0 1 2
1 600	0 1
1 308 600	0 1 2
1 A03	0 1
1 308 A03	0 1
1 1100	0 1
1 308 1100	0 1 2
1 1160	0 1
1 308 1160	0 1 2
1 11A8	0 1
1 308 11A8	0 1 2
1 AC00	0 1
1 308 AC00	0 1 2
1 AC01	0 1
1 308 AC01	0 1 2
1 903	0 1
1 308 903	0 1
1 904	0 1
1 308 904	0 1 2
1 D4E	0 1
1 308 D4E	0 1 2
1 915	0 1
1 308 915	0 1 2
1 231A	0 1
1 308 231A	0 1 2
1 300	0 1
1 308 300	0 1
1 900	0 1
1 308 900	0 1
1 94D	0 1
1 308 94D	0 1
1 200D	0 1
1 308 200D	0 1
1 378	0 1
1 308 378	0 1 2
200C 20	0 1
200C 308 20	0 2
200C D	0 1
200C 308 D	0 2
200C A	0 1
200C 308 A	0 2
200C 1	0 1
200C 308 1	0 2
200C 200C	0
200C 308 200C	0
200C 1F1E6	0 1
200C 308 1F1E6	0 2
200C 600	0 1
200C 308 600	0 2
200C A03	0
200C 308 A03	0
200C 1100	0 1
200C 308 1100	0 2
200C 1160	0 1
200C 308 1160	0 2
200C 11A8	0 1
200C 308 11A8	0 2
200C AC00	0 1
200C 308 AC00	0 2
200C AC01	0 1
200C 308 AC01	0 2
200C 903	0
200C 308 903	0
200C 904	0 1
200C 308 904	0 2
200C D4E	0 1
200C 308 D4E	0 2
200C 915	0 1
200C 308 915	0 2
200C 231A	0 1
200C 308 231A	0 2
200C 300	0
200C 308 300	0
200C 900	0
200C 308 900	0
200C 94D	0
200C 308 94D	0
200C 200D	0
200C 308 200D	0
200C 378	0 1
200C 308 378	0 2
1F1E6 20	0 1
1F1E6 308 20	0 2
1F1E6 D	0 1
1F1E6 308 D	0 2
1F1E6 A	0 1
1F1E6 308 A	0 2
1F1E6 1	0 1
1F1E6 308 1	0 2
1F1E6 200C	0
1F1E6 308 200C	0
1F1E6 1F1E6	0
1F1E6 308 1F1E6	0 2
1F1E6 600	0 1
1F1E6 308 600	0 2
1F1E6 A03	0
1F1E6 308 A03	0
1F1E6 1100	0 1
1F1E6 308 1100	0 2
1F1E6 1160	0 1
1F1E6 308 1160	0 2
1F1E6 11A8	0 1
1F1E6 308 11A8	0 2
1F1E6 AC00	0 1
1F1E6 308 AC00	0 2
1F1E6 AC01	0 1
1F1E6 308 AC01	0 2
1F1E6 903	0
1F1E6 308 903	0
1F1E6 904	0 1
1F1E6 308 904	0 2
1F1E6 D4E	0 1
1F1E6 308 D4E	0 2
1F1E6 915	0 1
1F1E6 308 915	0 2
1F1E6 231A	0 1
1F1E6 308 231A	0 2
1F1E6 300	0
1F1E6 308 300	0
1F1E6 900	0
1F1E6 308 900	0
1F1E6 94D	0
1F1E6 308 94D	0
1F1E6 200D	0
1F1E6 308 200D	0
1F1E6 378	0 1
1F1E6 308 378	0 2
600 20	0
600 308 20	0 2
600 D	0 1
600 308 D	0 2
600 A	0 1
600 308 A	0 2
600 1	0 1
600 308 1	0 2
600 200C	0
600 308 200C	0
600 1F1E6	0
600 308 1F1E6	0 2
600 600	0
600 308 600	0 2
600 A03	0
600 308 A03	0
600 1100	0
600 308 1100	0 2
600 1160	0
600 308 1160	0 2
600 11A8	0
600 308 11A8	0 2
600 AC00	0
600 308 AC00	0 2
600 AC01	0
600 308 AC01	0 2
600 903	0
600 308 903	0
600 904	0
600 308 904	0 2
600 D4E	0
600 308 D4E	0 2
600 915	0
600 308 915	0 2
600 231A	0
600 308 231A	0 2
600 300	0
600 308 300	0
600 900	0
600 308 900	0
600 94D	0
600 308 94D	0
600 200D	0
600 308 200D	0
600 378	0
600 308 378	0 2
A03 20	0 1
A03 308 20	0 2
A03 D	0 1
A03 308 D	0 2
A03 A	0 1
A03 308 A	0 2
A03 1	0 1
A03 308 1	0 2
A03 200C	0
A03 308 200C	0
A03 1F1E6	0 1
A03 308 1F1E6	0 2
A03 600	0 1
A03 308 600	0 2
A03 A03	0
A03 308 A03	0
A03 1100	0 1
A03 308 1100	0 2
A03 1160	0 1
A03 308 1160	0 2
A03 11A8	0 1
A03 308 11A8	0 2
A03 AC00	0 1
A03 308 AC00	0 2
A03 AC01	0 1
A03 308 AC01	0 2
A03 903	0
A03 308 903	0
A03 904	0 1
A03 308 904	0 2
A03 D4E	0 1
A03 308 D4E	0 2
A03 915	0 1
A03 308 915	0 2
A03 231A	0 1
A03 308 231A	0 2
A03 300	0
A03 308 300	0
A03 900	0
A03 308 900	0
A03 94D	0
A03 308 94D	0
A03 200D	0
A03 308 200D	0
A03 378	0 1
A03 308 378	0 2
1100 20	0 1
1100 308 20	0 2
1100 D	0 1
1100 308 D	0 2
1100 A	0 1
1100 308 A	0 2
1100 1	0 1
1100 308 1	0 2
1100 200C	0
1100 308 200C	0
1100 1F1E6	0 1
1100 308 1F1E6	0 2
1100 600	0 1
1100 308 600	0 2
1100 A03	0
1100 308 A03	0
1100 1100	0
1100 308 1100	0 2
1100 1160	0
1100 308 1160	0 2
1100 11A8	0 1
1100 308 11A8	0 2
1100 AC00	0
1100 308 AC00	0 2
1100 AC01	0
1100 308 AC01	0 2
1100 903	0
1100 308 903	0
1100 904	0 1
1100 308 904	0 2
1100 D4E	0 1
1100 308 D4E	0 2
1100 915	0 1
1100 308 915	0 2
1100 231A	0 1
1100 308 231A	0 2
1100 300	0
1100 308 300	0
1100 900	0
1100 308 900	0
1100 94D	0
1100 308 94D	0
1100 200D	0
1100 308 200D	0
1100 378	0 1
1100 308 378	0 2
1160 20	0 1
1160 308 20	0 2
1160 D	0 1
1160 308 D	0 2
1160 A	0 1
1160 308 A	0 2
1160 1	0 1
1160 308 1	0 2
1160 200C	0
1160 308 200C	0
1160 1F1E6	0 1
1160 308 1F1E6	0 2
1160 600	0 1
1160 308 600	0 2
1160 A03	0
1160 308 A03	0
1160 1100	0 1
1160 308 1100	0 2
1160 1160	0
1160 308 1160	0 2
1160 11A8	0
1160 308 11A8	0 2
1160 AC00	0 1
1160 308 AC00	0 2
1160 AC01	0 1
1160 308 AC01	0 2
1160 903	0
1160 308 903	0
1160 904	0 1
1160 308 904	0 2
1160 D4E	0 1
1160 308 D4E	0 2
1160 915	0 1
1160 308 915	0 2
1160 231A	0 1
1160 308 231A	0 2
1160 300	0
1160 308 300	0
1160 900	0
1160 308 900	0
1160 94D	0
1160 308 94D	0
1160 200D	0
1160 308 200D	0
1160 378	0 1
1160 308 378	0 2
11A8 20	0 1
11A8 308 20	0 2
11A8 D	0 1
11A8 308 D	0 2
11A8 A	0 1
11A8 308 A	0 2
11A8 1	0 1
11A8 308 1	0 2
11A8 200C	0
11A8 308 200C	0
11A8 1F1E6	0 1
11A8 308 1F1E6	0 2
11A8 600	0 1
11A8 308 600	0 2
11A8 A03	0
11A8 308 A03	0
11A8 1100	0 1
11A8 308 1100	0 2
11A8 1160	0 1
11A8 308 1160	0 2
11A8 11A8	0
11A8 308 11A8	0 2
11A8 AC00	0 1
11A8 308 AC00	0 2
11A8 AC01	0 1
11A8 308 AC01	0 2
11A8 903	0
11A8 308 903	0
11A8 904	0 1
11A8 308 904	0 2
11A8 D4E	0 1
11A8 308 D4E	0 2
11A8 915	0 1
11A8 308 915	0 2
11A8 231A	0 1
11A8 308 231A	0 2
11A8 300	0
11A8 308 300	0
11A8 900	0
11A8 308 900	0
11A8 94D	0
11A8 308 94D	0
11A8 200D	0
11A8 308 200D	0
11A8 378	0 1
11A8 308 378	0 2
AC00 20	0 1
AC00 308 20	0 2
AC00 D	0 1
AC00 308 D	0 2
AC00 A	0 1
AC00 308 A	0 2
AC00 1	0 1
AC00 308 1	0 2
AC00 200C	0
AC00 308 200C	0
AC00 1F1E6	0 1
AC00 308 1F1E6	0 2
AC00 600	0 1
AC00 308 600	0 2
AC00 A03	0
AC00 308 A03	0
AC00 1100	0 1
AC00 308 1100	0 2
AC00 1160	0
AC00 308 1160	0 2
AC00 11A8	0
AC00 308 11A8	0 2
AC00 AC00	0 1
AC00 308 AC00	0 2
AC00 AC01	0 1
AC00 308 AC01	0 2
AC00 903	0
AC00 308 903	0
AC00 904	0 1
AC00 308 904	0 2
AC00 D4E	0 1
AC00 308 D4E	0 2
AC00 915	0 1
AC00 308 915	0 2
AC00 231A	0 1
AC00 308 231A	0 2
AC00 300	0
AC00 308 300	0
AC00 900	0
AC00 308 900	0
AC00 94D	0
AC00 308 94D	0
AC00 200D	0
AC00 308 200D	0
AC00 378	0 1
AC00 308 378	0 2
AC01 20	0 1
AC01 308 20	0 2
AC01 D	0 1
AC01 308 D	0 2
AC01 A	0 1
AC01 308 A	0 2
AC01 1	0 1
AC01 308 1	0 2
AC01 200C	0
AC01 308 200C	0
AC01 1F1E6	0 1
AC01 308 1F1E6	0 2
AC01 600	0 1
AC01 308 600	0 2
AC01 A03	0
AC01 308 A03	0
AC01 1100	0 1
AC01 308 1100	0 2
AC01 1160	0 1
AC01 308 1160	0 2
AC01 11A8	0
AC01 308 11A8	0 2
AC01 AC00	0 1
AC01 308 AC00	0 2
AC01 AC01	0 1
AC01 308 AC01	0 2
AC01 903	0
AC01 308 903	0
AC01 904	0 1
AC01 308 904	0 2
AC01 D4E	0 1
AC01 308 D4E	0 2
AC01 915	0 1
AC01 308 915	0 2
AC01 231A	0 1
AC01 308 231A	0 2
AC01 300	0
AC01 308 300	0
AC01 900	0
AC01 308 900	0
AC01 94D	0
AC01 308 94D	0
AC01 200D	0
AC01 308 200D	0
AC01 378	0 1
AC01 308 378	0 2
903 20	0 1
903 308 20	0 2
903 D	0 1
903 308 D	0 2
903 A	0 1
903 308 A	0 2
903 1	0 1
903 308 1	0 2
903 200C	0
903 308 200C	0
903 1F1E6	0 1
903 308 1F1E6	0 2
903 600	0 1
903 308 600	0 2
903 A03	0
903 308 A03	0
903 1100	0 1
903 308 1100	0 2
903 1160	0 1
903 308 1160	0 2
903 11A8	0 1
903 308 11A8	0 2
903 AC00	0 1
903 308 AC00	0 2
903 AC01	0 1
903 308 AC01	0 2
903 903	0
903 308 903	0
903 904	0 1
903 308 904	0 2
903 D4E	0 1
903 308 D4E	0 2
903 915	0 1
903 308 915	0 2
903 231A	0 1
903 308 231A	0 2
903 300	0
903 308 300	0
903 900	0
903 308 900	0
903 94D	0
903 308 94D	0
903 200D	0
903 308 200D	0
903 378	0 1
903 308 378	0 2
904 20	0 1
904 308 20	0 2
904 D	0 1
904 308 D	0 2
904 A	0 1
904 308 A	0 2
904 1	0 1
904 308 1	0 2
904 200C	0
904 308 200C	0
904 1F1E6	0 1
904 308 1F1E6	0 2
904 600	0 1
904 308 600	0 2
904 A03	0
904 308 A03	0
904 1100	0 1
904 308 1100	0 2
904 1160	0 1
904 308 1160	0 2
904 11A8	0 1
904 308 11A8	0 2
904 AC00	0 1
904 308 AC00	0 2
904 AC01	0 1
904 308 AC01	0 2
904 903	0
904 308 903	0
904 904	0 1
904 308 904	0 2
904 D4E	0 1
904 308 D4E	0 2
904 915	0 1
904 308 915	0 2
904 231A	0 1
904 308 231A	0 2
904 300	0
904 308 300	0
904 900	0
904 308 900	0
904 94D	0
904 308 94D	0
904 200D	0
904 308 200D	0
904 378	0 1
904 308 378	0 2
D4E 20	0
D4E 308 20	0 2
D4E D	0 1
D4E 308 D	0 2
D4E A	0 1
D4E 308 A	0 2
D4E 1	0 1
D4E 308 1	0 2
D4E 200C	0
D4E 308 200C	0
D4E 1F1E6	0
D4E 308 1F1E6	0 2
D4E 600	0
D4E 308 600	0 2
D4E A03	0
D4E 308 A03	0
D4E 1100	0
D4E 308 1100	0 2
D4E 1160	0
D4E 308 1160	0 2
D4E 11A8	0
D4E 308 11A8	0 2
D4E AC00	0
D4E 308 AC00	0 2
D4E AC01	0
D4E 308 AC01	0 2
D4E 903	0
D4E 308 903	0
D4E 904	0
D4E 308 904	0 2
D4E D4E	0
D4E 308 D4E	0 2
D4E 915	0
D4E 308 915	0 2
D4E 231A	0
D4E 308 231A	0 2
D4E 300	0
D4E 308 300	0
D4E 900	0
D4E 308 900	0
D4E 94D	0
D4E 308 94D	0
D4E 200D	0
D4E 308 200D	0
D4E 378	0
D4E 308 378	0 2
915 20	0 1
915 308 20	0 2
915 D	0 1
915 308 D	0 2
915 A	0 1
915 308 A	0 2
915 1	0 1
915 308 1	0 2
915 200C	0
915 308 200C	0
915 1F1E6	0 1
915 308 1F1E6	0 2
915 600	0 1
915 308 600	0 2
915 A03	0
915 308 A03	0
915 1100	0 1
915 308 1100	0 2
915 1160	0 1
915 308 1160	0 2
915 11A8	0 1
915 308 11A8	0 2
915 AC00	0 1
915 308 AC00	0 2
915 AC01	0 1
915 308 AC01	0 2
915 903	0
915 308 903	0
915 904	0 1
915 308 904	0 2
915 D4E	0 1
915 308 D4E	0 2
915 915	0 1
915 308 915	0 2
915 231A	0 1
915 308 231A	0 2
915 300	0
915 308 300	0
915 900	0
915 308 900	0
915 94D	0
915 308 94D	0
915 200D	0
915 308 200D	0
915 378	0 1
915 308 378	0 2
231A 20	0 1
231A 308 20	0 2
231A D	0 1
231A 308 D	0 2
231A A	0 1
231A 308 A	0 2
231A 1	0 1
231A 308 1	0 2
231A 200C	0
231A 308 200C	0
231A 1F1E6	0 1
231A 308 1F1E6	0 2
231A 600	0 1
231A 308 600	0 2
231A A03	0
231A 308 A03	0
231A 1100	0 1
231A 308 1100	0 2
231A 1160	0 1
231A 308 1160	0 2
231A 11A8	0 1
231A 308 11A8	0 2
231A AC00	0 1
231A 308 AC00	0 2
231A AC01	0 1
231A 308 AC01	0 2
231A 903	0
231A 308 903	0
231A 904	0 1
231A 308 904	0 2
231A D4E	0 1
231A 308 D4E	0 2
231A 915	0 1
231A 308 915	0 2
231A 231A	0 1
231A 308 231A	0 2
231A 300	0
231A 308 300	0
231A 900	0
231A 308 900	0
231A 94D	0
231A 308 94D	0
231A 200D	0
231A 308 200D	0
231A 378	0 1
231A 308 378	0 2
300 20	0 1
300 308 20	0 2
300 D	0 1
300 308 D	0 2
300 A	0 1
300 308 A	0 2
300 1	0 1
300 308 1	0 2
300 200C	0
300 308 200C	0
300 1F1E6	0 1
300 308 1F1E6	0 2
300 600	0 1
300 308 600	0 2
300 A03	0
300 308 A03	0
300 1100	0 1
300 308 1100	0 2
300 1160	0 1
300 308 1160	0 2
300 11A8	0 1
300 308 11A8	0 2
300 AC00	0 1
300 308 AC00	0 2
300 AC01	0 1
300 308 AC01	0 2
300 903	0
300 308 903	0
300 904	0 1
300 308 904	0 2
300 D4E	0 1
300 308 D4E	0 2
300 915	0 1
300 308 915	0 2
300 231A	0 1
300 308 231A	0 2
300 300	0
300 308 300	0
300 900	0
300 308 900	0
300 94D	0
300 308 94D	0
300 200D	0
300 308 200D	0
300 378	0 1
300 308 378	0 2
900 20	0 1
900 308 20	0 2
900 D	0 1
900 308 D	0 2
900 A	0 1
900 308 A	0 2
900 1	0 1
900 308 1	0 2
900 200C	0
900 308 200C	0
900 1F1E6	0 1
900 308 1F1E6	0 2
900 600	0 1
900 308 600	0 2
900 A03	0
900 308 A03	0
900 1100	0 1
900 308 1100	0 2
900 1160	0 1
900 308 1160	0 2
900 11A8	0 1
900 308 11A8	0 2
900 AC00	0 1
900 308 AC00	0 2
900 AC01	0 1
900 308 AC01	0 2
900 903	0
900 308 903	0
900 904	0 1
900 308 904	0 2
900 D4E	0 1
900 308 D4E	0 2
900 915	0 1
900 308 915	0 2
900 231A	0 1
900 308 231A	0 2
900 300	0
900 308 300	0
900 900	0
900 308 900	0
900 94D	0
900 308 94D	0
900 200D	0
900 308 200D	0
900 378	0 1
900 308 378	0 2
94D 20	0 1
94D 308 20	0 2
94D D	0 1
94D 308 D	0 2
94D A	0 1
94D 308 A	0 2
94D 1	0 1
94D 308 1	0 2
94D 200C	0
94D 308 200C	0
94D 1F1E6	0 1
94D 308 1F1E6	0 2
94D 600	0 1
94D 308 600	0 2
94D A03	0
94D 308 A03	0
94D 1100	0 1
94D 308 1100	0 2
94D 1160	0 1
94D 308 1160	0 2
94D 11A8	0 1
94D 308 11A8	0 2
94D AC00	0 1
94D 308 AC00	0 2
94D AC01	0 1
94D 308 AC01	0 2
94D 903	0
94D 308 903	0
94D 904	0 1
94D 308 904	0 2
94D D4E	0 1
94D 308 D4E	0 2
94D 915	0 1
94D 308 915	0 2
94D 231A	0 1
94D 308 231A	0 2
94D 300	0
94D 308 300	0
94D 900	0
94D 308 900	0
94D 94D	0
94D 308 94D	0
94D 200D	0
94D 308 200D	0
94D 378	0 1
94D 308 378	0 2
200D 20	0 1
200D 308 20	0 2
200D D	0 1
200D 308 D	0 2
200D A	0 1
200D 308 A	0 2
200D 1	0 1
200D 308 1	0 2
200D 200C	0
200D 308 200C	0
200D 1F1E6	0 1
200D 308 1F1E6	0 2
200D 600	0 1
200D 308 600	0 2
200D A03	0
200D 308 A03	0
200D 1100	0 1
200D 308 1100	0 2
200D 1160	0 1
200D 308 1160	0 2
200D 11A8	0 1
200D 308 11A8	0 2
200D AC00	0 1
200D 308 AC00	0 2
200D AC01	0 1
200D 308 AC01	0 2
200D 903	0
200D 308 903	0
200D 904	0 1
200D 308 904	0 2
200D D4E	0 1
200D 308 D4E	0 2
200D 915	0 1
200D 308 915	0 2
200D 231A	0 1
200D 308 231A	0 2
200D 300	0
200D 308 300	0
200D 900	0
200D 308 900	0
200D 94D	0
200D 308 94D	0
200D 200D	0
200D 308 200D	0
200D 378	0 1
200D 308 378	0 2
378 20	0 1
378 308 20	0 2
378 D	0 1
378 308 D	0 2
378 A	0 1
378 308 A	0 2
378 1	0 1
378 308 1	0 2
378 200C	0
378 308 200C	0
378 1F1E6	0 1
378 308 1F1E6	0 2
378 600	0 1
378 308 600	0 2
378 A03	0
378 308 A03	0
378 1100	0 1
378 308 1100	0 2
378 1160	0 1
378 308 1160	0 2
378 11A8	0 1
378 308 11A8	0 2
378 AC00	0 1
378 308 AC00	0 2
378 AC01	0 1
378 308 AC01	0 2
378 903	0
378 308 903	0
378 904	0 1
378 308 904	0 2
378 D4E	0 1
378 308 D4E	0 2
378 915	0 1
378 308 915	0 2
378 231A	0 1
378 308 231A	0 2
378 300	0
378 308 300	0
378 900	0
378 308 900	0
378 94D	0
378 308 94D	0
378 200D	0
378 308 200D	0
378 378	0 1
378 308 378	0 2
D A 61 A 308	0 2 3 4
61 308	0
20 200D 646	0 2
646 200D 20	0 2
1100 1100	0
AC00 11A8 1100	0 2
AC01 11A8 1100	0 2
1F1E6 1F1E7 1F1E8 62	0 2 3
61 1F1E6 1F1E7 1F1E8 62	0 1 3 4
61 1F1E6 1F1E7 200D 1F1E8 62	0 1 4 5
61 1F1E6 200D 1F1E7 1F1E8 62	0 1 3 5
61 1F1E6 1F1E7 1F1E8 1F1E9 62	0 1 3 5
61 200D	0
61 308 62	0 2
61 903 62	0 2
61 600 62	0 1
1F476 1F3FF 1F476	0 2
61 1F3FF 1F476	0 2
61 1F3FF 1F476 200D 1F6D1	0 2
1F476 1F3FF 308 200D 1F476 1F3FF	0
1F6D1 200D 1F6D1	0
61 200D 1F6D1	0 2
2701 200D 2701	0
61 200D 2701	0 2
915 924	0 1
915 94D 924	0
915 94D 94D 924	0
915 94D 200D 924	0
915 93C 200D 94D 924	0
915 93C 94D 200D 924	0
915 94D 924 94D 92F	0
915 94D 61	0 2
61 94D 924	0 2
3F 94D 924	0 2
915 94D 94D 924	0
