2F9CA 1D444 1E8 2FAD C971 FE10 1ABD	34BB 1D444 1E8 2FAD C971 FE10 1ABD	34BB 1D444 4B 30C 2FAD 110C 1172 11AC FE10 1ABD	34BB 51 1E8 9751 C971 2C 1ABD	34BB 51 4B 30C 9751 110C 1172 11AC 2C 1ABD
328 1F37 1F149 1E024 2F902	328 1F37 1F149 1E024 6D41	328 3B9 314 342 1F149 1E024 6D41	328 1F37 5A 1E024 6D41	328 3B9 314 342 5A 1E024 6D41
951 1FB8	951 1FB8	951 391 306	951 1FB8	951 391 306
8CE 208B	8CE 208B	8CE 208B	8CE 2212	8CE 2212
1D57 1FBF0 C55 11A47 1079E 1D755	1D57 1FBF0 11A47 C55 1079E 1D755	1D57 1FBF0 11A47 C55 1079E 1D755	74 30 11A47 C55 26E 3C0	74 30 11A47 C55 26E 3C0
1D16F 1CDB 3180 4C2 5BB 1EC7	1D16F 1CDB 3180 4C2 5BB 1EC7	1D16F 1CDB 3180 436 5BB 306 65 323 302	1D16F 1CDB 1147 4C2 5BB 1EC7	1D16F 1CDB 1147 436 5BB 306 65 323 302
4D6	4D6	415 306	4D6	415 306
1D7B0 B49B 35E 1EE01 1D5B4 351	1D7B0 B49B 35E 1EE01 1D5B4 351	1D7B0 1103 1170 11BA 35E 1EE01 1D5B4 351	3B7 B49B 35E 628 55 351	3B7 1103 1170 11BA 35E 628 55 351
2F8CE FF20 1D702 D37E	3B19 FF20 1D702 D37E	3B19 FF20 1D702 1111 1165 11A9	3B19 40 3B7 D37E	3B19 40 3B7 1111 1165 11A9
FC2D 1D7C1 1DB3 1DCA 10F84 3139 747	FC2D 1D7C1 1DB3 1DCA 10F84 3139 747	FC2D 1D7C1 1DB3 1DCA 10F84 3139 747	641 62C 3C8 282 1DCA 10F84 1105 747	641 62C 3C8 282 1DCA 10F84 1105 747
6E4 FCEB 3189 219B 331 219 F9A3	6E4 FCEB 3189 219B 331 219 5FF5	6E4 FCEB 3189 2192 338 331 73 326 5FF5	6E4 643 644 1188 219B 331 219 5FF5	6E4 643 644 1188 2192 338 331 73 326 5FF5
746 FF09 2D7F 226D FA93 FB17	746 FF09 2D7F 226D 671B FB17	746 FF09 2D7F 224D 338 671B FB17	746 29 2D7F 226D 671B 574 56D	746 29 2D7F 224D 338 671B 574 56D
1D7B5 A92B 317 1D1AA 1F61 1D4A9 319	1D7B5 A92B 317 1D1AA 1F61 1D4A9 319	1D7B5 A92B 317 1D1AA 3C9 314 1D4A9 319	3BC A92B 317 1D1AA 1F61 4E 319	3BC A92B 317 1D1AA 3C9 314 4E 319
1B6B 107A0	1B6B 107A0	1B6B 107A0	1B6B 28E	1B6B 28E
D4D	D4D	D4D	D4D	D4D
2F06 BDC4 24A1	2F06 BDC4 24A1	2F06 1107 1170 11B3 24A1	4E8C BDC4 28 66 29	4E8C 1107 1170 11B3 28 66 29
1E99 2024	1E99 2024	79 30A 2024	1E99 2E	79 30A 2E
328A 1E8D0	328A 1E8D0	328A 1E8D0	6708 1E8D0	6708 1E8D0
2F6F	2F6F	2F6F	77F3	77F3
FA89 1D5B2 2DFA 1D781	618E 1D5B2 2DFA 1D781	618E 1D5B2 2DFA 1D781	618E 53 2DFA 3C2	618E 53 2DFA 3C2
897 596 1D7A1 11E FB4E F18	596 897 1D7A1 11E 5E4 5BF F18	596 897 1D7A1 47 306 5E4 5BF F18	596 897 398 11E 5E4 5BF F18	596 897 398 47 306 5E4 5BF F18
FB38 85B FC96 12F0 1F1C FC3B BCC	5D8 5BC 85B FC96 12F0 1F1C FC3B BCC	5D8 5BC 85B FC96 12F0 395 313 301 FC3B BC6 BD7	5D8 5BC 85B 64A 64A 12F0 1F1C 643 644 BCC	5D8 5BC 85B 64A 64A 12F0 395 313 301 643 644 BC6 BD7
1D49 119E0 FA93	1D49 119E0 671B	1D49 119E0 671B	65 119E0 671B	65 119E0 671B
1F228 1B6F 172B FBF2 24CC	1F228 1B6F 172B FBF2 24CC	1F228 1B6F 172B FBF2 24CC	6355 1B6F 172B 626 6C6 57	6355 1B6F 172B 64A 654 6C6 57
1D6F4 E3A 10376 8CE 1F41 1E05A	1D6F4 E3A 10376 8CE 1F41 1E05A	1D6F4 E3A 10376 8CE 3BF 314 1E05A	3A3 E3A 10376 8CE 1F41 43A	3A3 E3A 10376 8CE 3BF 314 43A
FEEC 1D7AE 6DB 1F115 1D79B 600	FEEC 1D7AE 6DB 1F115 1D79B 600	FEEC 1D7AE 6DB 1F115 1D79B 600	647 3B5 6DB 28 46 29 39C 600	647 3B5 6DB 28 46 29 39C 600
390 2416 110BA FA9D 1E63 1F21 368	390 2416 110BA 77A7 1E63 1F21 368	3B9 308 301 2416 110BA 77A7 73 323 3B7 314 368	390 2416 110BA 77A7 1E63 1F21 368	3B9 308 301 2416 110BA 77A7 73 323 3B7 314 368
32CD 2F8B7 33D2 1D41D D261 1FC1	32CD 6350 33D2 1D41D D261 1FC1	32CD 6350 33D2 1D41D 1110 116F 11C0 A8 342	65 72 67 6350 6C 6F 67 64 D261 20 308 342	65 72 67 6350 6C 6F 67 64 1110 116F 11C0 20 308 342
4DE 1FBF6 33D 1D6A2 EB8 101	4DE 1FBF6 33D 1D6A2 EB8 101	417 308 1FBF6 33D 1D6A2 EB8 61 304	4DE 36 33D 79 EB8 101	417 308 36 33D 79 EB8 61 304
F999 1D784 AF94 114BC	84EE 1D784 AF94 114BC	84EE 1D784 1101 116C 11BB 114B9 114B0	84EE 3C5 AF94 114BC	84EE 3C5 1101 116C 11BB 114B9 114B0
1F13A F957 1D5A5 653 F9E0 108D	1F13A 7DBE 1D5A5 653 6613 108D	1F13A 7DBE 1D5A5 653 6613 108D	4B 7DBE 46 653 6613 108D	4B 7DBE 46 653 6613 108D
9FE 1133B	1133B 9FE	1133B 9FE	1133B 9FE	1133B 9FE
1D4B9 1D6F0 FB5F FA06 1D5FA 11173	1D4B9 1D6F0 FB5F 66B4 1D5FA 11173	1D4B9 1D6F0 FB5F 66B4 1D5FA 11173	64 39F 67A 66B4 6D 11173	64 39F 67A 66B4 6D 11173
1F79 741 FA17 8FB 2F34 6EA 1D4C	3CC 741 76CA 8FB 2F34 6EA 1D4C	3BF 301 741 76CA 8FB 2F34 6EA 1D4C	3CC 741 76CA 8FB 5E7F 6EA 25C	3BF 301 741 76CA 8FB 5E7F 6EA 25C
61A 36E 1FC 1D631 30FA	61A 36E 1FC 1D631 30FA	61A 36E C6 301 1D631 30F2 3099	61A 36E 1FC 70 30FA	61A 36E C6 301 70 30F2 3099
1ACD 2F85F 1DF3 1D6A9	1ACD 5962 1DF3 1D6A9	1ACD 5962 1DF3 1D6A9	1ACD 5962 1DF3 392	1ACD 5962 1DF3 392
1EE2C 10EAC 1D503	1EE2C 10EAC 1D503	1EE2C 10EAC 1D503	645 10EAC 7A	645 10EAC 7A
1D523 2F996 B0A4 7F1	1D523 82E6 B0A4 7F1	1D523 82E6 1102 1161 11B3 7F1	66 82E6 B0A4 7F1	66 82E6 1102 1161 11B3 7F1
FAA9 1D596 439	774A 1D596 439	774A 1D596 438 306	774A 71 439	774A 71 438 306
1D49A FA01 1D7C0	1D49A 5EA6 1D7C0	1D49A 5EA6 1D7C0	79 5EA6 3C7	79 5EA6 3C7
1ACB FBA6 1A7A 1ABB	1ACB FBA6 1A7A 1ABB	1ACB FBA6 1A7A 1ABB	1ACB 6C1 1A7A 1ABB	1ACB 6C1 1A7A 1ABB
26F	26F	26F	26F	26F
749	749	749	749	749
1F11A 94D 32BA 360 1D7E5 302F	1F11A 94D 32BA 360 1D7E5 302F	1F11A 94D 32BA 360 1D7E5 302F	28 4B 29 94D 34 35 360 33 302F	28 4B 29 94D 34 35 360 33 302F
3317	3317	3317	30AD 30ED 30EF 30C3 30C8	30AD 30ED 30EF 30C3 30C8
1D731 1D66E	1D731 1D66E	1D731 1D66E	3A6 79	3A6 79
1B3B 1DD9 105 1D6CB	1B3B 1DD9 105 1D6CB	1B3A 1B35 1DD9 61 328 1D6CB	1B3B 1DD9 105 3BA	1B3A 1B35 1DD9 61 328 3BA
1D413 FCF7 677 738 FDBB 314E	1D413 FCF7 677 738 FDBB 314E	1D413 FCF7 677 738 FDBB 314E	54 639 649 6C7 674 738 643 645 645 1112	54 639 649 6C7 674 738 643 645 645 1112
2146 2F9BD 2F2D E2	2146 876B 2F2D E2	2146 876B 2F2D 61 302	64 876B 5C71 E2	64 876B 5C71 61 302
2F9F FC82 2F9AF	2F9F FC82 4561	2F9F FC82 4561	8F9B 643 645 4561	8F9B 643 645 4561
1EB 119E0	1EB 119E0	6F 119E0 328	1EB 119E0	6F 119E0 328
338A F945 FC2A	338A 807E FC2A	338A 807E FC2A	70 46 807E 639 645	70 46 807E 639 645
11AC FA00 32CD FED9	11AC 5207 32CD FED9	11AC 5207 32CD FED9	11AC 5207 65 72 67 643	11AC 5207 65 72 67 643
1DFB 1F94 A6F1 2F883 1FD0 10EFD C56	1DFB 1F94 A6F1 382F 1FD0 C56 10EFD	1DFB 3B7 313 301 A6F1 345 382F 3B9 C56 10EFD 306	1DFB 1F94 A6F1 382F 1FD0 C56 10EFD	1DFB 3B7 313 301 A6F1 345 382F 3B9 C56 10EFD 306
135F FF63	135F FF63	135F FF63	135F 300D	135F 300D
2139 364 339C FED4 1E40	2139 364 339C FED4 1E40	2139 364 339C FED4 4D 307	69 364 6D 6D 641 1E40	69 364 6D 6D 641 4D 307
FC9F C884 D4EB 8EB FA51 1FA8 FD62	FC9F C884 D4EB 8EB 795D 1FA8 FD62	FC9F 110C 1169 11BB 1111 1172 11AA 8EB 795D 3A9 313 345 FD62	628 645 C884 D4EB 8EB 795D 1FA8 633 645 645	628 645 110C 1169 11BB 1111 1172 11AA 8EB 795D 3A9 313 345 633 645 645
65A 10F4D 1D665 1FA0	10F4D 65A 1D665 1FA0	10F4D 65A 1D665 3C9 313 345	10F4D 65A 70 1FA0	10F4D 65A 70 3C9 313 345
308 10A3F 1D58A FDA6 3149	10A3F 308 1D58A FDA6 3149	10A3F 308 1D58A FDA6 3149	10A3F 308 65 62C 62D 649 110D	10A3F 308 65 62C 62D 649 110D
1E94A 749 8E6	1E94A 8E6 749	1E94A 8E6 749	1E94A 8E6 749	1E94A 8E6 749
1E029 2E2 1D63E B46A	1E029 2E2 1D63E B46A	1E029 2E2 1D63E 1103 116E 11C1	1E029 73 43 B46A	1E029 73 43 1103 116E 11C1
